Product Code,Short Description,RRP,Price,Pack Size,MfrPartNum
2W99439,2WORK LARGE BSI FIRST AID KIT,72.56,19.4,1,2W99439
2W99440,2WORK EYEWASH STATION,23.54,10.91,1,2W99440
3M00237,POST-IT SUPER STICKY 76X76 RIO MIAMI P15,19.08,8.39,1,654-15SSMULTI2
3M00481,3M SURFACE PRO 3 PRO 4 PRIVACY FILTER,62.61,34.65,1,PFTMS001
3M00675,3M POSTIT RCYCLD PASTL PADS 76X76MM PK16,39.01,14.41,1,654-1RPT
3M00699,3M POSTIT RCYCLD RAINB PDS 76X127MM PK16,51.88,21.84,1,655-1RPT
3M00731,3M PRIVACY FILTER HP ELITE X2 1012,81.3,44.99,1,PFNHP012
3M00760,3M PRIVACY FILTER 2016 MBOOK PRO 15,124.15,68.7,1,PFNAP008
3M00761,3M PRIVACY FILTER 2016 MBOOK PRO 13,99.43,55.02,1,PFNAP007
3M01074,POST-IT VALUE PACK 12 PADS OF R330NR/DIS,33.08,13.33,1,DS100-VP
3M01273,SCOTCH HD PACKING TAPE 50MMX50M BRN,9.94,2.9,1,HV.5050.S.B
3M01274,SCOTCH HD PACKING TAPE 50MMX50M CLR,9.94,2.46,1,HV.5050.S.T
3M01275,SCOTCH HD PACKING TAPE 50X66 BRN P3,34.4,8.7,1,HV.5066.T3.B
3M01276,SCOTCH HD PACKING TAPE 50X66 CLR P3,34.4,15.44,1,HV.5066.T3.T
3M01401,3M POSTIT NOTE 38X51MM YELLOW PACK 12,10.75,4.14,1,653
3M01403,3M POSTIT NOTE 76X76MM YELLOW 654 PACK12,27.13,8.97,1,654
3M01417,3M POSTIT NOTE 76X127MM YELLOW 655 PK12,34.12,11.37,1,655
3M01418,3M POSTIT NOTE 51X76MM YELLOW 656 PACK12,19.83,9.62,1,656YELLOW
3M01425,3M POSTIT 101X152MM RULE FEINT YELLOW P6,31.4,10.83,1,660
3M01428,POSTIT ZNOTES 76X127MM YELLOW PK12,37.44,16.87,1,R350Y
3M01533,3M POSTIT ZNOTE 76X76MM YELLOW R330 P12,25.71,9.94,1,R330
3M02570,3M ERGONOMIC MOUSE W/CORD BLK EM500GPL,96.14,49.12,1,EM500GPL
3M02977,POST-IT MEETING CHART/DRY ERASE WHITEBRD,40.35,17.78,1,563-D3
3M04214,POSTIT RECYCLED NOTES 38X51MM YELLOW P12,14.15,4.79,1,653-1
3M04242,3M POSTIT RECYCLED 76X76MM YLW PK12,24.7,9.52,1,654-1Y
3M04243,3M POSTIT RECYCLED 127X76MM YLW PK12,43.07,13.11,1,655-1Y
3M05438,POST IT PRO DISPENSER BLACK,18.78,8.07,1,PRO-B-1SSCY-R330
3M06260,3M POSTIT INDEX TAPE FLAG RED 25MM PK12,52.69,18.46,1,680-1
3M06261,3M POSTIT INDEX TAPE FLAG BLUE 25MM PK12,52.69,18.46,1,680-2
3M06262,3M POSTIT INDEX TAPE FLAG GREEN 25MM P12,52.69,18.46,1,680-3
3M06263,3M POSTIT INDEX TAPE FLAG YLW 25MM PK12,52.69,18.46,1,680-5
3M06264,3M POSTIT INDEX TAPE FLAG ORG 25MM P12,52.69,18.46,1,680-4
3M06265,3M POSTIT INDEX TAPE FLAG PRPLE 25MM P12,52.69,18.46,1,680-8
3M06269,3M POSTIT INDEX TAB 25MM SIGN HERE,4.35,1.74,1,680-9
3M06334,3M POSTIT INDEX FORMAT ARROW AST 684ARR1,6.53,2.7,1,684ARR1
3M07137,3M SCOTCH MAGIC TAPE 19MMX33M PK12,58.87,16.3,1,81933R14
3M10065,POSTIT RECYCLED PADS 76X76MM YELLOW PK16,34.31,15.02,1,654-1T
3M10260,3M EAR CLASSIC EARPLUGS UNCORDED PK250,84.29,33.33,1,PP-01-002
3M10572,SCOTCH MAGIC TAPE 19MM X 33M PK24,103.16,39.59,1,XA004815701
3M11717,3M 8310 FFP1 UNVALVED CUP DISP RESP PK10,30.47,11.09,1,8310
3M13145,3M HALF MASK AND FILTER KIT 7523L,63.28,33.42,1,7523L
3M14934,POST-IT SUPER STICKY NOTES PK18,46.99,11.47,1,654SS-P14CY+4C
3M14942,POST-IT SUPER STICKY NOTES XXL PK6,34.37,9.32,1,4690-SSUC-P4+2
3M14945,POST-IT SUPER STICKY XL NOTES PK12,46.64,11.56,1,675-SSUC-P8+4
3M15170,POST-IT SUPER STICKY NOTES PK12,32.8,13.58,1,654-12SS-RIO
3M16514,3M COMMAND ADHESIVE HOOK LARGE WHT,6.06,1.56,1,17003
3M16598,3M COMMAND ADHESIVE POSTER STRIPS S P12,4.3,1.09,1,7100118790
3M19784,POSTIT SS ZNOTES 76X76MM AST BORABORA P6,20.52,5.99,1,R330-6SS-JP
3M19785,POSTIT SS ZNOTES BANGKOK 76X76MM AST PK6,20.52,6.77,1,R330-6SS-EG
3M20593,SCOTCH MAGIC TAPE TOWER PK8,34.39,9.78,1,8-1933R8
3M23162,3M POSTIT CUBE 76X76MM YELLOW 636B,8.51,3.25,1,636B
3M23453,POSTIT NOTE 76MM X 76MM YELLOW,30.28,14.02,12,6820YEL
3M23460,POSTIT NOTE 76MM X 127MM CANARY YELLOW,37.96,17.24,12,6830Y
3M239330,SCOTCH PACK TP EZST DSPNSR 50MMX20M CLR,15.16,3.07,1,E.5020D
3M23942,SCOTCH PACK TAPE RENFRC EZST 50MMX9M CLR,12.93,5.91,1,X.5009D
3M25551,3M POSTIT 101X152MM FEINT RBOW PK6 660N,33.91,11.5,1,660N
3M25910,SCOTCH MAGIC 19X33 PK12 FOC DISPENSER,57.48,19.57,1,SM12
3M26192,SCOTCH CRYSTAL CLEAR TAPE 19MMX33M 600,3.58,1.63,1,600
3M26604,SCOTCH LOW NOISE BUFF TAPE 48X66M,57.26,6.11,6,3120B4866
